Date,Number,Count,is_best
2002-01-05,70,1,1
2002-01-05,52,1,0
2002-01-05,55,1,0
2002-01-05,11,3,0
2002-01-05,13,2,0
2002-01-05,30,1,0
2002-01-05,67,1,0
2002-01-05,06,1,0
2002-01-05,35,2,0
2002-01-05,51,1,0
2002-01-05,99,1,0
2002-01-05,69,1,0
2002-01-05,48,1,0
2002-01-05,07,1,0
2002-01-05,57,2,0
2002-01-05,93,1,0
2002-01-05,98,1,0
2002-01-05,22,1,0
2002-01-05,01,1,0
2002-01-06,51,1,1
2002-01-06,04,1,0
2002-01-06,92,1,0
2002-01-06,71,1,0
2002-01-06,30,1,0
2002-01-06,23,1,0
2002-01-06,37,1,0
2002-01-06,50,1,0
2002-01-06,06,1,0
2002-01-06,64,1,0
2002-01-06,79,1,0
2002-01-06,98,1,0
2002-01-06,96,1,0
2002-01-06,43,1,0
2002-01-06,40,1,0
2002-01-06,44,1,0
2002-01-06,93,1,0
2002-01-06,74,1,0
2002-01-06,99,1,0
2002-01-06,72,1,0
2002-01-06,87,1,0
2002-01-06,32,1,0
2002-01-06,53,1,0
2002-01-06,83,1,0
2002-01-07,70,1,1
2002-01-07,18,1,0
2002-01-07,59,1,0
2002-01-07,61,1,0
2002-01-07,56,1,0
2002-01-07,09,1,0
2002-01-07,42,1,0
2002-01-07,84,2,0
2002-01-07,64,1,0
2002-01-07,49,1,0
2002-01-07,47,1,0
2002-01-07,66,1,0
2002-01-07,83,1,0
2002-01-07,43,1,0
2002-01-07,21,1,0
2002-01-07,98,1,0
2002-01-07,28,1,0
2002-01-07,05,1,0
2002-01-07,52,1,0
2002-01-07,87,1,0
2002-01-07,73,1,0
2002-01-07,82,1,0
2002-01-07,20,1,0
2002-01-08,07,2,1
2002-01-08,33,1,0
2002-01-08,49,1,0
2002-01-08,26,2,0
2002-01-08,43,1,0
2002-01-08,25,1,0
2002-01-08,62,1,0
2002-01-08,34,1,0
2002-01-08,74,1,0
2002-01-08,56,1,0
2002-01-08,89,1,0
2002-01-08,11,1,0
2002-01-08,82,1,0
2002-01-08,91,1,0
2002-01-08,54,1,0
2002-01-08,08,1,0
2002-01-08,76,1,0
2002-01-08,84,1,0
2002-01-08,60,1,0
2002-01-08,95,1,0
2002-01-08,00,1,0
2002-01-08,01,1,0
2002-01-09,75,1,1
2002-01-09,47,1,0
2002-01-09,63,1,0
2002-01-09,56,1,0
2002-01-09,77,2,0
2002-01-09,65,1,0
2002-01-09,04,1,0
2002-01-09,00,2,0
2002-01-09,10,1,0
2002-01-09,28,1,0
2002-01-09,46,1,0
2002-01-09,50,1,0
2002-01-09,83,1,0
2002-01-09,89,1,0
2002-01-09,35,1,0
2002-01-09,39,1,0
2002-01-09,44,1,0
2002-01-09,67,1,0
2002-01-09,74,1,0
2002-01-09,72,1,0
2002-01-09,23,1,0
2002-01-09,11,1,0
2002-01-10,13,1,1
2002-01-10,67,1,0
2002-01-10,38,1,0
2002-01-10,61,1,0
2002-01-10,29,1,0
2002-01-10,75,2,0
2002-01-10,73,1,0
2002-01-10,71,1,0
2002-01-10,26,1,0
2002-01-10,30,1,0
2002-01-10,39,1,0
2002-01-10,57,1,0
2002-01-10,77,1,0
2002-01-10,68,1,0
2002-01-10,82,1,0
2002-01-10,89,2,0
2002-01-10,12,1,0
2002-01-10,43,1,0
2002-01-10,53,1,0
2002-01-10,25,1,0
2002-01-10,93,1,0
2002-01-10,04,1,0
